Time,Low,High,Open,Close,Volume,MinValue,MaxValue
1510882800,6750.98,6750.99,6750.99,6750.99,0.21111,0.0,0.0
1510882860,6750.98,6750.99,6750.98,6750.99,0.15,2.0,2.0
1510882920,6750.98,6750.99,6750.99,6750.99,0.19,0.0,4.0
1510882980,6750.98,6750.99,6750.99,6750.98,0.35853358,2.0,2.0
1510883040,6750.98,6750.98,6750.98,6750.98,0.59306072,0.0,4.0
1510883100,6750.0,6750.98,6750.98,6750.01,1.14534298,0.0,2.0
1510883160,6713.0,6750.0,6750.0,6713.0,5.5487854999999975,0.0,2.0
1510883220,6664.0,6713.01,6713.0,6664.01,2.39230629,14.0,0.0
1510883280,6664.0,6706.38,6664.0,6692.54,0.38928132,2.0,0.0
1510883340,6692.6,6697.0,6692.6,6697.0,0.0946659,2.0,0.0
1510883400,6695.27,6699.94,6695.37,6699.93,0.46176445,2.0,0.0
1510883460,6715.77,6715.78,6715.78,6715.77,0.3119534,2.0,0.0
1510883520,6715.77,6715.78,6715.77,6715.78,0.39305655,0.0,14.0
1510883580,6715.77,6715.78,6715.78,6715.77,0.22,2.0,0.0
1510883640,6715.78,6715.78,6715.78,6715.78,0.01694915,0.0,18.0
1510883700,6695.22,6715.78,6715.78,6695.23,0.13398613999999998,6.0,0.0
1510883760,6695.48,6699.59,6699.59,6695.48,0.21941924,0.0,4.0
1510883820,6695.22,6695.23,6695.23,6695.23,0.8435976999999999,2.0,2.0
1510883880,6695.22,6695.23,6695.22,6695.23,0.18,0.0,4.0
1510883940,6695.22,6695.23,6695.23,6695.22,0.19552367,2.0,2.0
1510884000,6695.22,6695.23,6695.22,6695.22,8.771048500000001,0.0,4.0
1510884060,6668.03,6692.5,6692.5,6682.91,0.68712912,0.0,2.0
1510884120,6668.34,6676.8,6668.34,6670.25,0.48862295,4.0,0.0
1510884180,6670.2,6676.55,6676.55,6670.37,0.47478097,2.0,4.0
1510884240,6670.29,6675.42,6675.42,6670.37,0.7724714800000001,0.0,6.0
1510884300,6664.06,6670.38,6670.38,6664.06,0.11147946,0.0,2.0
1510884360,6650.0,6664.0,6664.0,6650.01,0.42274739,16.0,2.0
1510884420,6650.0,6650.01,6650.0,6650.01,0.81155151,14.0,0.0
1510884480,6650.0,6651.0,6650.0,6651.0,0.42022995,0.0,2.0
1510884540,6650.99,6651.0,6651.0,6650.99,0.12236192,4.0,0.0
1510884600,6651.0,6657.41,6651.0,6657.41,0.4159608,2.0,0.0
1510884660,6657.41,6657.42,6657.42,6657.42,0.16046011000000004,2.0,0.0
1510884720,6660.0,6660.0,6660.0,6660.0,0.01929748,2.0,0.0
1510884780,6659.99,6661.12,6659.99,6661.12,0.4532541700000001,0.0,16.0
1510884840,6661.11,6661.12,6661.12,6661.11,0.30476141,0.0,2.0
1510884900,6650.0,6659.99,6659.99,6650.0,0.6112173000000001,2.0,2.0
1510884960,6650.0,6650.01,6650.01,6650.0,0.84223142,0.0,4.0
1510885020,6628.0,6646.22,6646.22,6628.01,0.86019364,0.0,2.0
1510885080,6628.0,6628.01,6628.01,6628.0,0.81686514,0.0,2.0
1510885140,6625.02,6625.03,6625.03,6625.03,0.3643277600000001,78.0,0.0
1510885200,6625.02,6661.11,6625.02,6661.11,0.3353242200000001,0.0,10.0
1510885260,6657.28,6661.09,6661.09,6657.39,0.04412361,0.0,2.0
1510885320,6657.38,6657.39,6657.38,6657.38,0.21263047,6.0,0.0
1510885380,6657.38,6660.92,6657.38,6660.92,0.14894935,2.0,0.0
1510885440,6661.08,6661.08,6661.08,6661.08,0.01054998,0.0,2.0
1510885500,6661.07,6661.07,6661.07,6661.07,0.02,4.0,0.0
1510885620,6670.0,6674.91,6670.0,6674.91,0.34586966,2.0,0.0
1510885680,6674.92,6676.47,6674.92,6676.47,0.06333369,2.0,0.0
1510885740,6684.15,6684.16,6684.16,6684.15,0.19,2.0,4.0
1510885800,6684.15,6684.16,6684.15,6684.15,0.26014948000000004,4.0,2.0
1510885860,6684.15,6684.16,6684.15,6684.15,0.05,6.0,0.0
1510886040,6684.16,6690.0,6684.16,6690.0,0.4356652200000001,2.0,44.0
1510886100,6684.21,6690.01,6690.01,6690.0,0.21441026,2.0,42.0
1510886160,6690.0,6690.0,6690.0,6690.0,0.01,0.0,40.0
1510886220,6684.31,6686.15,6684.31,6686.04,0.05,0.0,2.0
1510886280,6684.3,6684.3,6684.3,6684.3,0.02,0.0,2.0
1510886400,6684.15,6684.31,6684.31,6684.15,0.24594,0.0,2.0
1510886460,6684.14,6684.15,6684.15,6684.14,0.03193,0.0,2.0
1510886520,6662.49,6684.14,6684.14,6663.23,0.16074643000000002,10.0,0.0
1510886580,6665.73,6665.73,6665.73,6665.73,0.1,2.0,0.0
1510886640,6665.74,6675.6,6665.74,6675.6,0.17472408,0.0,6.0
1510886700,6673.28,6673.31,6673.31,6673.28,0.05,0.0,2.0
1510886760,6669.42,6669.42,6669.42,6669.42,0.01,0.0,2.0
1510886820,6666.33,6668.79,6667.0,6666.33,0.0319704,0.0,2.0
1510886880,6662.49,6670.0,6670.0,6662.49,0.1875,38.0,2.0
1510886940,6662.48,6662.49,6662.48,6662.49,0.03085331,40.0,0.0
1510887000,6662.6,6672.48,6669.98,6672.48,0.34533204,0.0,10.0
1510887060,6672.47,6672.47,6672.47,6672.47,0.07948,4.0,0.0
1510887240,6672.48,6672.48,6672.48,6672.48,1.429,0.0,8.0
1510887300,6672.47,6672.48,6672.48,6672.47,0.25808028000000005,8.0,0.0
1510887360,6672.48,6672.48,6672.48,6672.48,0.06,2.0,4.0
1510887420,6672.47,6672.48,6672.47,6672.48,0.06000000000000001,0.0,2.0
1510887480,6672.47,6672.48,6672.48,6672.47,0.500151,14.0,0.0
1510887540,6672.49,6679.13,6672.49,6679.13,0.02035963,2.0,0.0
1510887600,6679.13,6705.66,6679.13,6705.66,0.01085331,2.0,0.0
